permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10363,AMAG PHARMACEUTICALS INC,1986-06-11,12250,2834,"Pharmaceutical Preparations",13.25,1,2017-12-31,13.25,451.59975,23.1859,-5.71,1853.236,-199.228,1.74987924528302,-0.430943396226415
11208,OFG BANCORP,1987-03-26,16981,6020,"Commercial Banks",9.39999961853027,1,2017-12-31,9.4,413.1018,17.5008,0.88,6189.053,52.646,1.86178730959739,0.0936170250757512
11644,COMSTOCK RESOURCES INC -OLD,1987-08-28,23002,1311,"Crude Petroleum and Natural Gs",8.46000003814697,1,2014-12-31,6.81,319.10298,18.5725,-1.24,2274.337,-57.111,2.19533095936818,-0.146572103358005
27422,CLEVELAND-CLIFFS INC,1960-07-27,3107,3310,"Steel Wrk, RollandFinish Mill",7.21000003814697,1,2013-12-31,26.21,4013.43246,34.8615,2.39,13121.9,413.5,4.83515947511142,0.331484048176822
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",19,1,2017-12-31,19,31.958,32.2961,1.08,82.489,1.818,1.69979473684211,0.0568421052631579
57913,NABI BIOPHARMACEUTICALS-OLD,1973-08-20,7936,2836,"Biological Pds, Ex Diagnstics",0.566299974918365,0,2011-12-31,1.88,80.63884,1.3725,-0.18,97.965,-4.531,2.42362716014221,-0.317852742313732
59089,BRISTOW GROUP INC,1972-12-14,8092,4522,"Air Transport, Nonscheduled",13.4700002670288,1,2017-03-31,15.21,535.60494,36.6106,-4.87,3113.847,-170.536,2.71793610053696,-0.361544165067357
64020,LUBYS INC,1973-01-31,6831,5812,"Eating Places",2.64000010490417,1,2017-08-31,2.65,77.1786,4.9462,-0.77,226.457,-23.262,1.873560531612,-0.291666655076876
75069,INCOME OPPORTUNITY RLTY INVS,1987-05-20,12956,6162,"Mortgage Bankers and Loan Corr",11.25,1,2017-12-31,11.0834,46.1956112,21.0861,0.36,87.897,1.508,1.87432,0.032
76215,ICONIX BRAND GROUP INC,1990-01-22,20204,6794,"Patent Owners and Lessors",1.28999996185303,1,2016-12-31,9.34,532.72558,6.5809,-4.82,2005.515,-252.134,5.10147301907422,-3.73643421901833
83520,JAKKS PACIFIC INC,1996-05-02,62745,3944,"Games,Toys,Chld Veh,Ex Dolls",2.34999990463257,1,2017-12-31,2.35,56.03575,3.923,-3.89,370.349,-83.085,1.66936176987351,-1.65531921611214
83969,WILLIS LEASE FINANCE CORP,1996-09-18,63596,7359,"Equip Rental and Leasing, Nec",24.9699993133545,1,2017-12-31,24.97,160.28243,40.2525,9.93,1603.431,62.158,1.61203448565864,0.39767722359084
86165,ACCESSITY CORP,1998-06-11,163595,2860,"Industrial Organic Chemicals",4.55000019073486,0,2017-12-31,4.55,200.1363,8.1031,-0.85,720.296,-34.964,1.78090102424617,-0.186813178982025
87121,SALEM MEDIA GROUP INC,1999-07-01,121817,4832,"Radio Broadcasting Stations",4.5,0,2017-12-31,4.5,117.756,8.8383,0.94,572.819,24.644,1.96406666666667,0.208888888888889
88284,COMMUNITY HEALTH SYSTEMS INC,2000-06-09,23714,8062,"Gen Med and Surgical Hospitals",4.26000022888184,1,2016-12-31,5.59,636.57243,14.182,-15.41,21944,-1721,3.32910780235392,-3.61737069766421
89973,UNIVERSAL TECHNICAL INST,2003-12-17,156633,8200,"Educational Services",2.40000009536743,0,2017-09-30,3.47,86.77776,5.0294,-0.54,274.102,-8.128,2.09558325006234,-0.224999991059304
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",3.10999989509583,1,2017-12-31,3.11,1552.512,26.879,1.66,105297,817,8.64276556484313,0.533762075882273
