permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,prcc_f,mkvalt,bkvlps,epspx,at,ni,btm,etm
10257,DLH HOLDINGS CORP,1986-05-15,12304,8090,"Misc Health and Allied Svc,Nec",0.699999988079071,0,2009-09-30,1.5001,7.3474898,2.8207,0.08,29.657,-4.355,4.02957149719462,0.114285716231988
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",1.54999995231628,0,2009-01-31,0.76,23.76444,7.5159,-2.21,487.036,-68.955,4.84896789110763,-1.42580649547597
10825,SOUTH FINANCIAL GROUP INC,1986-11-06,17640,6020,"Commercial Banks",0.662000000476837,0,2009-12-31,0.6447,138.9044832,3.0512,-5.22,11894.982,-676.254,4.60906344078886,-7.88519636894267
11131,AMERIANA BANCORP,1987-02-25,16637,6036,"Savings Instn, Not Fed Chart",2.99499988555908,1,2009-12-31,2.66,7.95074,10.8983,-0.09,441.563,-0.264,3.63883152468488,-0.0300500846206876
11628,CENTRAL PACIFIC FINANCIAL CP,1987-08-24,16705,6020,"Commercial Banks",1.35000002384186,1,2009-12-31,1.31,39.73099,6.6261,-11.03,4869.522,-313.747,4.90822213553989,-8.17037022607643
30840,CONTINENTAL MATERIALS CORP,1962-07-02,3465,3585,"Air-Cond, Heating, Refrig Eq",10.4750003814697,1,2009-12-31,11.149,17.816102,32.0313,-0.5,82.112,-1.442,3.05788055689845,-0.0477326951590857
31078,COBRA ELECTRONICS CORP,1974-04-26,4128,3663,"Radio, TV Broadcast, Comm Eq",1.55999994277954,1,2009-12-31,1.67,10.80657,5.136,-1.59,75.703,-10.272,3.29230781306883,-1.01923080661593
59483,YRC WORLDWIDE INC,1972-12-14,11649,4213,"Trucking, Except Local",1.01999998092651,0,2008-12-31,2.87,170.28858,7.9953,-16.92,3966.113,-974.392,7.83852955834129,-16.5882356043094
73809,SUSQUEHANNA BANCSHARES INC,1984-05-24,17233,6020,"Commercial Banks",5.90000009536743,1,2009-12-31,5.89,509.33186,19.4403,-0.05,13689.262,12.675,3.29496604843518,-0.00847457613420364
75550,PARKVALE FINANCIAL CORP,1987-07-16,16985,6036,"Savings Instn, Not Fed Chart",7.15000009536743,1,2009-06-30,8.99,48.79772,21.923,-1.9,1907.106,-9.542,3.06615380525717,-0.265734262189875
76331,WEST COAST BANCORP/OR,1990-03-14,17780,6020,"Commercial Banks",2.0699999332428,1,2009-12-31,2.1,32.8461,7.0207,-5.83,2733.547,-91.213,3.39164262145728,-2.81642521160225
76757,AMBAC FINANCIAL GROUP INC,1991-07-11,24287,6351,"Surety Insurance",0.819999992847443,1,2007-12-31,25.77,2616.9435,22.4509,-31.56,23565.011,-3248.157,27.3791465802816,-38.4878052137637
77783,ANCHOR BANCORP WISCONSIN INC,1992-07-16,25570,6035,"Savings Instn,Fed Chartered",0.620000004768372,0,2009-03-31,1.35,29.1195,6.469,-10.94,5273.055,-228.311,10.4338708874958,-17.645161154615
77898,CASCADE FINANCIAL CORP,1992-09-16,25719,6020,"Commercial Banks",2.46000003814697,0,2009-12-31,2.21,26.84266,8.0201,-2.13,1704.628,-23.468,3.26020320147688,-0.865853645109881
78038,RADIAN GROUP INC,1992-10-30,25895,6351,"Surety Insurance",7.55000019073486,1,2009-12-31,7.31,605.04139,24.224,-1.8,8076.306,-147.879,3.20847674013664,-0.238410590003548
78195,PVF CAPITAL CORP,1992-12-30,26067,6035,"Savings Instn,Fed Chartered",1.88999998569489,1,2009-06-30,2.15,16.7141,6.368,-2.59,912.209,-20.116,3.36931219481396,-1.37037038074249
79584,VIST FINANCIAL CORP,1993-09-10,21595,6020,"Commercial Banks",5.55999994277954,1,2009-12-31,5.25,30.49725,17.2883,-0.18,1308.719,0.607,3.10940650682044,-0.0323741010526009
79672,ZALE CORP,1993-10-21,11669,5944,"Jewelry Stores",2.47000002861023,1,2009-07-31,5.92,189.25648,11.6924,-5.94,1230.972,-189.503,4.73376512735461,-2.40485827173945
79734,RIVERVIEW BANCORP INC,1993-10-25,29061,6035,"Savings Instn,Fed Chartered",2.53999996185303,1,2009-03-31,3.87,41.41674,8.2847,-0.25,914.333,-2.65,3.26169296237154,-0.0984251983285918
80625,COMMUNITYONE BANCORP,1994-06-14,30328,6020,"Commercial Banks",1.35000002384186,0,2009-12-31,1.3,14.8538,4.1011,-9.16,2101.296,-101.696,3.03785179820145,-6.7851850653545
80633,HMN FINANCIAL INC,1994-06-30,30416,6035,"Savings Instn,Fed Chartered",4.1399998664856,1,2009-12-31,4.2,17.829,17.4177,-3.39,1036.241,-10.796,4.20717404872423,-0.818840606117636
80837,PATRIOT NATIONAL BANCORP INC,1994-08-31,30647,6020,"Commercial Banks",1.49000000953674,1,2009-12-31,1.55,7.38265,7.5291,-5.02,866.417,-23.88,5.05308721597988,-3.36912749521443
80926,CALLON PETROLEUM CO/DE,1994-10-07,15060,1311,"Crude Petroleum and Natural Gs",1.45000004768372,0,2007-12-31,16.45,343.65695,13.7416,0.73,792.482,15.194,9.47696520558831,0.50344825930601
81148,CAMCO FINANCIAL CORP,1994-12-30,31276,6036,"Savings Instn, Not Fed Chart",1.54999995231628,1,2009-12-31,1.978,14.372148,8.3284,-1.56,842.655,-11.217,5.37316145562086,-1.00645164386539
83365,COST PLUS INC,1996-04-04,62590,5700,"Home Furniture and Equip Store",1.05999994277954,0,2009-01-31,0.96,21.20352,6.1669,-4.09,444.992,-102.668,5.81783050273485,-3.85849077432511
83443,BERKSHIRE HATHAWAY,1996-05-09,2176,9997,"Industrial Conglomerates",3287,1,2009-12-31,99200,153958.4,84472.9381,5193,297119,8055,25.6990989047764,1.57986005476118
83551,PACIFIC CAPITAL BANCORP,1996-05-13,23553,6020,"Commercial Banks",1.08000004291534,1,2009-12-31,0.96,44.87136,3.9281,-9.24,7542.255,-421.261,3.6371294851031,-8.55555521558837
83683,PROVIDENT FINANCIAL HOLDINGS,1996-06-28,63178,6035,"Savings Instn,Fed Chartered",2.50999999046326,0,2009-06-30,5.54,34.4588,18.4743,-1.2,1579.613,-7.439,7.36027891242752,-0.478087651218884
83800,SRI/SURGICAL EXPRESS INC,1996-07-19,63291,7200,"Personal Services",1.97499990463257,0,2009-12-31,2.0712,13.4338032,6.1463,-0.58,62.928,-3.776,3.11205078318394,-0.293670900256526
83903,SUN BANCORP INC/NJ,1996-08-29,63538,6020,"Commercial Banks",3.99000000953674,1,2009-12-31,3.75,87.48375,15.2854,-0.97,3578.905,-17.131,3.83092730913921,-0.243107768842492
83934,FIRST M&F CORP,1996-09-04,63551,6020,"Commercial Banks",2.07399988174438,0,2009-12-31,2.21,20.04249,8.3572,-6.69,1662.968,-59.799,4.02950842647638,-3.22565110002477
84140,CENTRUE FINANCIAL CORP,1996-10-01,63687,6020,"Commercial Banks",2.41000008583069,1,2009-12-31,2.6,15.7118,12.7725,-6.61,1312.684,-38.079,5.29979234237144,-2.74273849153065
85271,AMERICAN CAPITAL LTD,1997-08-29,65345,6797,"Business Development Company",2.52999997138977,1,2009-12-31,2.44,685.396,8.2912,-3.77,6672,-910,3.27715418725697,-1.49011859392594
85559,INTERVEST BANCSHARES CORP,1997-11-25,65971,6020,"Commercial Banks",2.90499997138977,1,2009-12-31,3.28,27.12888,22.8575,0.18,2401.204,3.13,7.86833054220817,0.0619621348615322
86113,AVALON HOLDINGS CORP,1998-06-23,110802,4955,"Hazardous Waste Management",2.15000009536743,1,2009-12-31,2.1,7.9863,10.3602,-0.2,47.757,-0.774,4.81869746067591,-0.0930232516877263
86165,ACCESSITY CORP,1998-06-11,163595,2860,"Industrial Organic Chemicals",0.688000023365021,0,2008-12-31,0.44,25.41,3.6255,-3.02,616.834,-146.547,5.26962191406275,-4.38953473464888
86299,UNITED COMMUNITY FINL CORP,1998-07-09,112410,6036,"Savings Instn, Not Fed Chart",1.42999994754791,1,2009-12-31,1.45,44.8021,7.1132,-0.73,2338.427,-16.773,4.97426591672073,-0.510489529214156
