permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
13507,AMERICAN NATIONAL GROUP INC,1972-12-14,1526,6311,"Life Insurance",93.4599990844727,1,2019-12-31,2020-02-26,117.68,3164.06216,222.7749,23.08,28597.566,620.363,0.103570784017828,3.7734140445618,2.38363901329217,0.246950569506634
18438,STARRETT (L.S.) CO  -CL A,1929-10-17,10030,3420,"Cutlery, Handtools,Gen Hrdwr",4.01999998092651,1,2019-06-30,2019-08-26,6.62,45.65152,12.0909,0.87,190.087,6.079,0.0729080463905779,1.27979467251946,3.0076865814346,0.216417911474588
24328,EQT CORP,1950-06-05,4430,4923,"Natural Gas Transmis and Distr",13.9099998474121,0,2019-12-31,2020-02-27,10.9,2781.3639,38.4197,-4.79,18809.227,-1221.695,-0.12461712997323,0.918606432665265,2.76202015970171,-0.344356581778911
26607,BIGLARI HOLDINGS INC,1972-12-14,3424,5812,"Eating Places",124.430000305176,1,2019-12-31,2020-03-30,114.42,71.05482,992.4283,131.64,1139.309,45.38,0.0736332099081938,0.848633291037777,7.97579601033496,1.05794422307435
28345,MURPHY OIL CORP,1962-01-02,7620,1311,"Crude Petroleum and Natural Gs",12.1599998474121,1,2019-12-31,2020-01-30,26.8,4098.658,35.7502,0.52,11718.504,1149.732,0.210286312108365,1.08165272356816,2.93998358952351,0.0427631584313438
52396,SUPERIOR INDUSTRIES INTL,1971-05-04,10195,3714,"Motor Vehicle Part,Accessory",4.36999988555908,0,2019-12-31,2020-02-28,3.69,92.72232,10.0163,-5.1,1311.867,-97.026,-0.235117648484261,2.16316184845034,2.29205955659163,-1.16704808548239
56822,NATIONAL WESTERN LIFE GROUP,1972-12-14,17073,6311,"Life Insurance",208.460006713867,1,2019-12-31,2020-02-28,290.88,1057.63968,585.3254,36.2,12553.447,131.616,0.0618425621510326,4.89850266158517,2.80785465388294,0.173654412520903
63773,TELEPHONE & DATA SYSTEMS INC,1981-12-15,10411,4812,"Radiotelephone Communication",18.2600002288818,1,2019-12-31,2020-02-20,25.43,2924.45,40.4609,1.06,10781,121,0.0260047281323877,1.15323447238341,2.2158214399145,0.0580503826239498
71175,UNUM GROUP,1986-11-06,12726,6321,"Accident and Health Insurance",21.9200000762939,1,2019-12-31,2020-02-04,29.16,5917.64292,49.1039,5.25,67013.4,1100.3,0.110416457601606,5.7248770697441,2.24014141556072,0.239507298436453
75069,INCOME OPPORTUNITY RLTY INVS,1987-05-20,12956,6162,"Mortgage Bankers and Loan Corr",11.3400001525879,1,2019-12-31,2020-03-24,13.2,55.0176,24.0504,0.99,100.256,4.145,0.0413499331617486,0.000139662017916642,2.12084653230904,0.0873015861268813
77973,UNICO AMERICAN CORP,1978-01-26,10832,6331,"Fire, Marine, Casualty Ins",4.42059993743896,0,2019-12-31,2020-03-02,6.3,33.4341,10.3789,-0.59,130.307,-3.116,-0.0565712314591238,1.36573410068808,2.34784874154727,-0.133466047222046
78963,CHICOS FAS INC,1993-03-24,27981,5621,"Women's Clothing Stores",1.49000000953674,1,2020-01-31,2020-02-27,3.89,460.64602,4.4764,-0.11,1542.659,-12.754,-0.0240599744949933,1.91017219652438,3.00429528278444,-0.0738255028831848
79857,PATTERSON-UTI ENERGY INC,1993-11-02,29108,1381,"Drilling Oil and Gas Wells",5.30000019073486,1,2019-12-31,2020-02-06,10.5,2016.378,14.7557,-2.1,4439.615,-425.703,-0.150232917610689,0.566764421482062,2.78409423942947,-0.396226400835059
80274,SIGMATRON INTERNATIONAL INC,1994-02-09,29698,3672,"Printed Circuit Boards",4.69999980926514,1,2020-04-30,2020-08-12,2.95,12.51685,13.876,0.1,176.079,0.443,0.00752428833480535,1.99067531761669,2.95234054534346,0.0212765966081252
81184,UNVL STAINLESS & ALLOY PRODS,1994-12-14,31170,3312,"Steel Works and Blast Furnaces",7.21000003814697,1,2019-12-31,2020-01-22,14.9,131.1051,27.6322,0.49,368.399,4.275,0.0175827520400105,0.515197255856804,3.83248264269104,0.0679611646889719
85939,RED LION HOTELS CORP,1998-04-03,109079,7011,"Hotels and Motels",2.71000003814697,1,2019-12-31,2020-02-27,3.73,93.80204,5.7652,-0.76,246.518,-19.029,-0.131248965403079,0.686261932351156,2.12738004385494,-0.280442800480427
86435,FEDNAT HOLDING COMPANY,1998-11-05,115766,6331,"Fire, Marine, Casualty Ins",5.73000001907349,1,2019-12-31,2020-02-27,16.63,239.72145,17.2524,0.08,1179.016,1.011,0.00406525314343387,3.74084915940537,3.01089004233365,0.0139616055381681
87589,BEASLEY BROADCAST GROUP INC,2000-02-11,129823,4832,"Radio Broadcasting Stations",1.48000001907349,1,2019-12-31,2020-02-18,3.09,86.44275,10.1712,0.49,760.06,13.45,0.0472694428531765,1.67143344146145,6.87243234386401,0.331081076814276
88372,URBAN ONE INC,2000-06-07,120301,4832,"Radio Broadcasting Stations",1.24000000953674,1,2019-12-31,2020-03-20,1.9,87.6394,3.969,0.02,1249.919,0.925,0.00505257408166052,5.76965724429879,3.20080642699576,0.0161290321340174
90162,GENWORTH FINANCIAL INC,2004-05-25,158354,6311,"Life Insurance",4.3600001335144,1,2019-12-31,2020-02-04,4.4,2215.4,28.1728,0.9,101342,343,0.024180472329926,6.11279520620374,6.46165117827443,0.206422012027452
90672,FREIGHTCAR AMERICA INC,2005-04-06,162742,3743,"Railroad Equipment",2.5699999332428,0,2019-12-31,2020-02-27,2.07,26.26209,9.2385,-5.95,245.202,-75.183,-0.6414439164228,1.09247583376703,3.59474717508765,-2.31517515741425
