permno,full_name,Beg_Dat,gvkey,sic,industry,LastPrice,In_Reduced,datadate,filedate,prcc_f,mkvalt,bkvlps,epspx,at,ni,roe,dte,btm,etm
10514,KASPIEN HOLDINGS INC,1986-07-24,12421,5961,"Catalog, Mail-Order Houses",3.58999991416931,0,2002-01-31,2002-02-27,7.97,327.12068,10.9167,0.4,935.418,16.791,0.0374743899336259,1.08767904728321,3.04086358245109,0.111420615477245
10622,WESTERBEKE CORP,1986-08-27,12518,3621,"Motors and Generators",2.11500000953674,0,2001-10-31,2002-01-23,1.76,3.4056,5.9845,0.16,21.878,0.319,0.0275474956822107,0.889291882556131,2.82955081466445,0.075650117862196
10972,REEDS JEWELERS INC,1986-12-19,12904,5944,"Jewelry Stores",0.975000023841858,1,2002-02-28,2002-04-09,1.05,8.8998,3.4988,-1.84,71.948,-15.376,-0.518478554086863,1.42608578365255,3.58851273276225,-1.88717944103193
16432,GOODYEAR TIRE & RUBBER CO,1927-08-05,5234,3011,"Tires and Inner Tubes",6.59999990463257,1,2001-12-31,2002-02-08,23.81,3884.98246,17.5527,-1.27,13512.9,-203.6,-0.0710893854748603,3.44319134078212,2.65950003842874,-0.192424245204698
17559,BELLWETHER EXPLORATION-OLD,1980-12-19,14114,1311,"Crude Petroleum and Natural Gs",0.310000002384186,0,2001-12-31,2002-02-27,3.5,82.551,4.674,-1.41,447.764,-30.945,-0.280705732946299,3.0617198838897,15.0774192388794,-4.5483870617929
19880,MASTEC INC,1972-12-14,2497,1623,"Water,Sewer,Pipeline Constr",3.11999988555908,0,2001-12-31,2002-02-19,6.95,332.93975,8.4919,-1.93,851.372,-92.354,-0.227023891170911,1.08750181291682,2.72176292034649,-0.618589766279481
21020,AMERICAN AIRLINES GROUP INC,1939-06-10,1045,4512,"Air Transport, Scheduled",6.3899998664856,1,2001-12-31,2002-01-16,22.3,3445.0155,34.7801,-11.43,32841,-1762,-0.327935976177182,5.11222780569514,5.44289526239513,-1.78873243174046
26112,DELTA AIR LINES INC,1957-04-17,3851,4512,"Air Transport, Scheduled",11.460000038147,1,2001-12-31,2002-01-31,29.26,3606.17796,30.5811,-9.99,23605,-1216,-0.302186878727634,4.86605367793241,2.66850784452046,-0.871727745789372
37284,ANDEAVOR,1962-07-02,10466,2911,"Petroleum Refining",4.48000001907349,1,2001-12-31,2002-01-30,13.11,542.93754,18.2788,2.26,2662.3,88,0.116248348745046,2.51690885072655,4.08008926834341,0.504464283566541
38658,NV ENERGY INC,1962-11-19,7824,4911,"Electric Services",6.05999994277954,1,2001-12-31,2002-02-14,15.05,1536.77055,16.6029,0.34,8181.314,60.433,0.0346254245600847,3.68752950721237,2.73975250111715,0.0561056110908233
